AccountName,IsPrivate,Name,StageName,Amount,CloseDate,Type,Subscription_Start_Date__c,Subscription_End_Date__c,OTR__c,ASV__c,Users__c
Mall Side Sports,0,Opp30,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Abbett Electric Corp,0,Opp31,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Xerox,0,Opp32,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Bachman Information System Inc.,0,Opp33,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Lakeland Village,0,Opp34,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Balfour Maclaine International,0,Opp35,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
State House Active Wear,0,Opp36,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Pace Press Inc,0,Opp37,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Raceway Engines,0,Opp38,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Teradyne,0,Opp39,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Dai-Ichi Kangyo Bank,0,Opp40,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ball & Socket Mfg Co,0,Opp41,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Volga Boats,0,Opp42,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Tapecon Inc,0,Opp43,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
K & S Contractors Supply Co,0,Opp44,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
IBK Capital Inc,0,Opp45,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Lexidata Corporation,0,Opp46,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Abacus Programming Corporation,0,Opp47,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Eastman Kodak Company Health Sciences Division,0,Opp48,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Vyrex,0,Opp49,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
East/West Computers Inc,0,Opp50,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Vicor,0,Opp51,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Tech Fire & Safety Company,0,Opp52,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
La Costa Hotel & Spa,0,Opp53,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Abbey Press Inc,0,Opp54,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Dame Belts & Bag Co Inc,0,Opp55,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
United Can Co.,0,Opp56,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Nash Direct,0,Opp57,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Queensborough Public Library,0,Opp58,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Caco-Pacific Corp.,0,Opp59,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
TDA Industries Inc,0,Opp60,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Quadrex Corp,0,Opp61,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Harkavy Information Service,0,Opp62,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Jadow B & Sons Inc,0,Opp63,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Cal-Pac Roofing Inc,0,Opp64,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Nixdorf Computer,0,Opp65,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Magna Mill Products,0,Opp66,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Eastern Municipal Water Distri,0,Opp67,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Majestic Entertainment,0,Opp68,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Jaff Brothers Woodworks Inc,0,Opp69,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Safeway Plumbing & Heating Inc,0,Opp70,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ocean Sports Wear,0,Opp71,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ralston Inc.,0,Opp72,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Daisy of California,0,Opp73,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Wyse Corp.,0,Opp74,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ocean Sports,0,Opp75,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Westinghouse Corporation,0,Opp76,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Dana Marketing Inc,0,Opp77,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Zoo Gift Shop,0,Opp78,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
N/S Corp,0,Opp79,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Jandel Scientific Inc.,0,Opp80,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Karpen & Steel Products Inc,0,Opp81,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Raleigh Active Wear,0,Opp82,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Oakland Carbide Engineering &,0,Opp83,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Daley Business Forms,0,Opp84,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Magma Power Co,0,Opp85,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
National Assn of Printing Ink,0,Opp86,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Sabena-Belgian World Airlines,0,Opp87,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
P & C Food Markets Inc,0,Opp88,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ImageTek Corp,0,Opp89,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Union Flights,0,Opp90,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Madonna Construction Co,0,Opp91,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
United Artists Theater Circuit,0,Opp92,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Japanese American Citizens Lea,0,Opp93,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Wallys World,0,Opp94,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CADAM Inc.,0,Opp95,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Gamblers Anonymous,0,Opp96,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Lake County,0,Opp97,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Kahlert Assoc Inc,0,Opp98,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Karabelas Furs Inc,0,Opp99,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Wind & Rain,0,Opp100,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
P.S.C.,0,Opp101,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Family Magazine,0,Opp102,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Kaiser Steel Resources Inc,0,Opp103,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Cahn Instruments Inc,0,Opp104,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Quaker Fashions,0,Opp105,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Harken Marketing Co,0,Opp106,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Gallo Ernst & Julio Winery,0,Opp107,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Facts on File Newsletter,0,Opp108,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
PacDevco Inc,0,Opp109,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
UniAmerica Inc,0,Opp110,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
East Coast Traders,0,Opp111,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
UBAF Arab American Bank,0,Opp112,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Veritas Software,0,Opp113,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Quinn/Brein Inc,0,Opp114,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Nardon Mfg Company Incorporated,0,Opp115,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Abberley Kooiman,0,Opp116,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
IBM Corp Data Systems Div,0,Opp117,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Via Systems,0,Opp118,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Acme,0,Opp119,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
salesforce.com,0,Opp120,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Global Media,0,Opp121,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AAM Freudenberg NOK General Partnership,0,Opp122,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ABOYTES AGUILAR GABRIEL,0,Opp123,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ACONDICIONAMIENTOS Y SERVICIOS SA DE CV,0,Opp124,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AGENCE PRESSE,0,Opp125,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AGROPECUARIA  A.D.L.T. S.A. DE C.V.,0,Opp126,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Akzenta Vertriebs GmbH,0,Opp127,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Alcatel-Lucent Nederland BV,0,Opp128,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ALIMENTOS CALIDAD OPTIMA SA DE CV,0,Opp129,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Alltech Automotive LLC,0,Opp130,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Alpha Stamping Company,0,Opp131,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AMECAR AC,0,Opp132,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ANGLO CORP S.A. DE C.V.,0,Opp133,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AP DE MEXICO SA DE CV,0,Opp134,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ARGO ALMACENADORA SA DE CV,0,Opp135,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ARTICULOS SELECTOS Y JUEGOS SA DE CV,0,Opp136,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ASOC. LOC. CENTRAL ABAST. VER.,0,Opp137,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ASOCIACION NACIONAL PRO SUPERACION,0,Opp138,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AUTELIN SA DE CV,0,Opp139,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AUTOTEC DESARROLLO Y SUMINISTROS SA DE CV,0,Opp140,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BABILON LANGUAGE COACHING SC,0,Opp141,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BALEROS BANDAS Y TORNILLOS SA DE CV,0,Opp142,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BARRERA MORENO FRANCISCO,0,Opp143,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BEBIDAS CRISTAL S.A. DE C.V.,0,Opp144,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BICIMOTOS S.A.,0,Opp145,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
blah1,0,Opp146,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BOESDORFER & BOESDORFER INC,0,Opp147,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BRINK GRAIN,0,Opp148,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
BUSTOS MELCHOR ROBERTA,0,Opp149,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CAMACHO CENTENO MERINO,0,Opp150,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Cape Australia Onshore Pty Ltd,0,Opp151,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CARLOS ALBERTO GOMEZ HUERTA,0,Opp152,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CARRILLO BELTRAN JUAN MANUEL,0,Opp153,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CASTILLO ORTIZ MARIO ALBERTO,0,Opp154,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CENTRAL FLETERA QUERETANA SA DE CV,0,Opp155,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CH ROBINSON COMPANY,0,Opp156,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CHEP MEXICO S.A. DE C.V.,0,Opp157,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CIL TEXTILES PVT LTD,0,Opp158,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CLEAN DEL PACIFICO SA DE CV,0,Opp159,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COMARK GRAIN MARKETING,0,Opp160,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COMERCIALIZADORA DE EQUIPO INDUSTRI,0,Opp161,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COMERCIALIZADORA RIMATOM SA de CV,0,Opp162,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COMERGALV SA DE CV,0,Opp163,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COMPANIA FERNANDEZ DE MERIDA S.A.,0,Opp164,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CONDUCTORES Y DERIVADOS ROSS SA DE CV,0,Opp165,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CONSORCIO EMPRESARIAL ALLEGRO SA DE CV,0,Opp166,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CONSTRUCTIO ET STRUCTURA ROMAN SA DE CV,0,Opp167,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
COORPORATIVO ALME SA DE CV,0,Opp168,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CORPORACION MEXICANA DE POLIMEROS SA DE CV,0,Opp169,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CORTES GARCIA ALEJANDRO CESAR,0,Opp170,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CRAFT INSTRUMENTOS CIENTIFICOS,0,Opp171,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
CRIBAS Y ARRENDAMIENTOS SA DE CV,0,Opp172,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
D NOVO SA DE CV,0,Opp173,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Darta NV,0,Opp174,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DE LAS FUENTES MARTINEZ JESUS ALBER,0,Opp175,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DELGADO CAMPBELL SANTIAGO ALBERTO,0,Opp176,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DEX DEL NOROESTE SA DE CV,0,Opp177,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DIKEN HERMOSILLO SA DE CV,0,Opp178,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DISTRIBUCION DE MADERA SA DE CV,0,Opp179,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DISTRIBUIDORA DE SUMINISTROS GENERA,0,Opp180,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DISTRIBUIDORA SAJOR SA DE CV,0,Opp181,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DONGGUAN JINLIYI INDUSTRIAL CO LTD,0,Opp182,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DOW QUIMICA MEXICANA SA DE CV,0,Opp183,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
DURAN LIZARRAGA ROMEL ALBERTO,0,Opp184,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ECOCAMIONES DEL NOROESTE SA DE CV,0,Opp185,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
EDMUNDO CEBALLOS SALDANA,0,Opp186,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ELANTAS PDG INC,0,Opp187,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ELIAS ABELARDO AMARO VILLAMIL,0,Opp188,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
EMPACADORA Y PROCESADORA DE MONTERR,0,Opp189,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ENLACES NACIONALES DE AGRONEGOCIOS,0,Opp190,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ERNESTO GALVAN GARCIA,0,Opp191,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ESPINOSA FLORES LILIANA,0,Opp192,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
EURO CARE S DE RL DE CV,0,Opp193,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
EXELCO SUPPLY MANAGEMENT SA DE CV,0,Opp194,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FABRICA DE POLIETILENO LA CIMA SA DE CV,0,Opp195,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FARMERS COOP OF RAVENNA,0,Opp196,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FERMAN SILVA ESTEBAN,0,Opp197,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FIANZAS ATLAS SA,0,Opp198,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FITCH MEXICO SA DE CV,0,Opp199,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FLORES SALAZAR ROSA ISABEL,0,Opp200,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FPL Group Ltd,0,Opp201,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FRIGORIFICA CONTRERAS SA DE CV,0,Opp202,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
FURISON ELECTRIC COMPONENT CON LTD,0,Opp203,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GALASS BODAS SA DE CV,0,Opp204,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GARCIA PEREZ AMELIA,0,Opp205,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GATEWAY FS,0,Opp206,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GenePoint,0,Opp207,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GERMAN VEGA JULIAN ISIDORO,0,Opp208,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GMC Hardwoods Inc,0,Opp209,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GOMEZ MUNOZ ERIKA,0,Opp210,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GONZALEZ GONZALEZ JULIO ENRIQUE,0,Opp211,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GRANJA RAB SA DE CV,0,Opp212,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GRUPO BAJO CERO SA DE CV,0,Opp213,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
GRUPO INDUSTRIAL MAQUINAS DE LIMPIE,0,Opp214,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ningbo Qtop Imp  and  Exp Co Ltd,0,Opp215,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ningbo Starlight IMP AND EXP Co Ltd,0,Opp216,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ningbo Vontone Stationery Co Ltd,0,Opp217,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
NOBLE AMERICAS CORP,0,Opp218,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
NOEMI GONZALEZ SOTELO,0,Opp219,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
NORDATA SA DE CV,0,Opp220,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
