Account,Name,Date,Downloads,Units,Amount
APLNG,ACCOUNTLEVEL,-25,3674,10992,6750
Quince Hungary Kft,ACCOUNTLEVEL,-25,8331,7139,430
Jandel Scientific Inc.,ACCOUNTLEVEL,-25,424,7303,14643
Viking Tool & Steel,ACCOUNTLEVEL,-25,347,7475,7899
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-25,11736,11259,9213
MAPE USA,ACCOUNTLEVEL,-25,7856,12058,7949
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-25,13538,1095,9437
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-25,12609,13404,13962
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-25,11618,12528,2679
M&M SERVICE CO,ACCOUNTLEVEL,-25,5131,4617,2254
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-25,7088,13479,5954
L and P Financial Services Co,ACCOUNTLEVEL,-25,1260,12873,9875
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-25,7412,10791,4232
CATMADER SL,ACCOUNTLEVEL,-25,8373,7495,14996
Tekno Inc,ACCOUNTLEVEL,-25,3085,13104,7405
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-25,11704,961,5958
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-25,7945,13569,12512
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-25,11793,8323,13315
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-25,7605,4290,6107
COMERGALV SA DE CV,ACCOUNTLEVEL,-25,2423,14103,6587
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-25,12538,10556,999
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-25,3352,3157,10890
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-25,11454,10094,14241
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-25,6699,5379,9855
TERENTRO SA DE CV,ACCOUNTLEVEL,-25,12422,3154,4067
FUNTASTIC LIMITED,ACCOUNTLEVEL,-25,10998,7532,2823
DeeTag USA,ACCOUNTLEVEL,-25,10022,4750,1852
Lakeland Village,ACCOUNTLEVEL,-25,4339,4101,9765
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-25,2916,8400,12108
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-25,301,9649,10827
Do not Use1,ACCOUNTLEVEL,-25,14572,9585,2462
Oil Chem Research Corp,ACCOUNTLEVEL,-25,12330,6251,6060
LICK ELEVATOR,ACCOUNTLEVEL,-25,3900,7053,7598
Quanex Screens LLC,ACCOUNTLEVEL,-25,8222,12449,6162
A and T unlimit Limited,ACCOUNTLEVEL,-24,11524,9985,6805
Sienna Gold Ltd,ACCOUNTLEVEL,-24,5875,8132,7857
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-24,14466,4216,12138
Murex N.A. Ltd,ACCOUNTLEVEL,-24,7795,9608,7830
Via Systems,ACCOUNTLEVEL,-24,13671,12252,11435
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-24,1620,591,1744
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-24,10831,8645,775
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-24,3074,313,5282
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-24,12725,12465,743
Anunay Fab Ltd,ACCOUNTLEVEL,-24,10406,8067,72
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-24,13403,7629,14188
Jadow B & Sons Inc,ACCOUNTLEVEL,-24,12658,5645,3462
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-24,13266,13833,2155
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-24,14681,14856,11889
Alltech Automotive LLC,ACCOUNTLEVEL,-24,9427,14180,9083
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-24,11676,6920,3207
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-24,9397,10526,4830
ATTEBURY GRAIN,ACCOUNTLEVEL,-24,7659,10659,13391
Vicor,ACCOUNTLEVEL,-24,8793,3786,12620
Baja Inc,ACCOUNTLEVEL,-24,13901,1477,12775
National Assn of Printing Ink,ACCOUNTLEVEL,-24,1027,3669,1018
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-24,1342,3250,8663
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-24,2745,6587,9111
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-24,13623,1376,10125
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-24,4043,2405,6192
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-24,8748,5816,11833
Triumph Tool NC Inc,ACCOUNTLEVEL,-24,6900,532,10112
Darta NV,ACCOUNTLEVEL,-24,243,10440,13998
COTY UK LTD,ACCOUNTLEVEL,-24,6891,11203,7977
Deal Partners Limited,ACCOUNTLEVEL,-24,1679,6435,1121
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-24,11149,12930,5898
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-24,12298,14040,12934
GKN Sinter Metals,ACCOUNTLEVEL,-24,11258,4897,9757
AGENCE PRESSE,ACCOUNTLEVEL,-24,1618,4604,7432
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-24,6149,1899,9416
AUREA SOFTWARE INC,ACCOUNTLEVEL,-24,9209,4888,6028
Ocean Sports Wear,ACCOUNTLEVEL,-24,4465,4326,12938
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-24,388,1568,4961
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-24,10928,13408,1154
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-24,4670,9062,2452
UNIFOODS SA DE CV,ACCOUNTLEVEL,-24,5254,14247,7227
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-24,5805,3948,9950
JARDINS DE NORTENE,ACCOUNTLEVEL,-24,7302,13516,439
Terry Store age spa,ACCOUNTLEVEL,-24,2546,10210,2618
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-24,9563,589,2312
ST. CLAIR SERVICE,ACCOUNTLEVEL,-24,8105,563,7061
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-24,2870,14554,4453
CARNES KM SA DE CV,ACCOUNTLEVEL,-24,729,12161,9
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-24,2458,4995,9310
COMNET SA DE CV,ACCOUNTLEVEL,-24,10500,6332,9013
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-24,4648,578,5533
FRUITCORP SA DE CV,ACCOUNTLEVEL,-24,214,14743,6837
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-24,13925,13077,13986
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-24,2822,4059,10270
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-24,13056,13948,6643
K & S Contractors Supply Co,ACCOUNTLEVEL,-24,1623,9012,6785
Tioga Hardwoods Inc,ACCOUNTLEVEL,-24,11827,4196,14410
GHCL Limited,ACCOUNTLEVEL,-24,14988,12009,10507
Motion Industries Inc.,ACCOUNTLEVEL,-24,8664,6844,8271
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-24,5897,5481,10855
Quantum Foods,ACCOUNTLEVEL,-24,13106,13729,2498
Family Magazine,ACCOUNTLEVEL,-24,6572,10458,2108
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-24,5077,2996,1968
Innovative Laser Inc,ACCOUNTLEVEL,-24,9994,2758,13079
Addis Housewares Ltd,ACCOUNTLEVEL,-24,1335,2367,2702
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-24,6069,14404,13429
APLNG,ACCOUNTLEVEL,-24,14370,2867,8396
Quince Hungary Kft,ACCOUNTLEVEL,-24,2657,11739,12581
Jandel Scientific Inc.,ACCOUNTLEVEL,-24,10157,11988,20
Viking Tool & Steel,ACCOUNTLEVEL,-24,3467,14576,6485
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-24,371,3241,7417
MAPE USA,ACCOUNTLEVEL,-24,13487,14327,5882
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-24,14231,12189,1539
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-24,14044,3287,13104
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-24,8789,7730,8242
M&M SERVICE CO,ACCOUNTLEVEL,-24,9728,4245,2924
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-24,4134,7107,14036
L and P Financial Services Co,ACCOUNTLEVEL,-24,13486,7221,6001
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-24,9841,115,14294
CATMADER SL,ACCOUNTLEVEL,-24,1244,14188,3281
Tekno Inc,ACCOUNTLEVEL,-24,14732,593,7766
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-24,7663,3491,11106
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-24,10169,10876,4833
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-24,12993,2380,4025
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-24,13236,6128,2962
COMERGALV SA DE CV,ACCOUNTLEVEL,-24,14884,11632,9697
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-24,1646,9140,4293
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-24,10175,7323,900
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-24,2481,12927,8800
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-24,4412,12286,14413
TERENTRO SA DE CV,ACCOUNTLEVEL,-24,8814,1923,2143
FUNTASTIC LIMITED,ACCOUNTLEVEL,-24,11472,14635,12886
DeeTag USA,ACCOUNTLEVEL,-24,2375,13107,7120
Lakeland Village,ACCOUNTLEVEL,-24,3355,10701,8520
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-24,2163,11304,10151
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-24,10685,5104,12696
Do not Use1,ACCOUNTLEVEL,-24,10041,11280,10037
Oil Chem Research Corp,ACCOUNTLEVEL,-24,7051,2009,14223
LICK ELEVATOR,ACCOUNTLEVEL,-24,1732,1686,2304
Quanex Screens LLC,ACCOUNTLEVEL,-24,2696,9303,11972
A and T unlimit Limited,ACCOUNTLEVEL,-23,6304,6699,4899
Sienna Gold Ltd,ACCOUNTLEVEL,-23,6321,9083,10705
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-23,6988,4553,8298
Murex N.A. Ltd,ACCOUNTLEVEL,-23,2250,4528,4080
Via Systems,ACCOUNTLEVEL,-23,2430,10041,13207
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-23,13313,12538,474
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-23,10479,7600,284
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-23,2749,12180,13289
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-23,14536,12744,3610
Anunay Fab Ltd,ACCOUNTLEVEL,-23,11868,5776,9234
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-23,7425,5300,14436
Jadow B & Sons Inc,ACCOUNTLEVEL,-23,12997,14042,13135
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-23,12557,6945,4663
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-23,13959,14457,4525
Alltech Automotive LLC,ACCOUNTLEVEL,-23,8280,1812,1634
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-23,11965,2000,4773
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-23,10266,13290,3706
ATTEBURY GRAIN,ACCOUNTLEVEL,-23,5275,13697,10254
Vicor,ACCOUNTLEVEL,-23,7792,2006,13070
Baja Inc,ACCOUNTLEVEL,-23,10007,7278,6959
National Assn of Printing Ink,ACCOUNTLEVEL,-23,6528,11095,1895
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-23,11418,8812,13457
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-23,14037,5389,4475
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-23,1748,13525,245
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-23,8545,8989,235
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-23,713,1479,3971
Triumph Tool NC Inc,ACCOUNTLEVEL,-23,7365,2728,9886
Darta NV,ACCOUNTLEVEL,-23,10612,11553,14900
COTY UK LTD,ACCOUNTLEVEL,-23,1888,13251,9131
Deal Partners Limited,ACCOUNTLEVEL,-23,10687,5878,1845
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-23,1410,5420,8523
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-23,14815,10707,9569
GKN Sinter Metals,ACCOUNTLEVEL,-23,10230,8757,9926
AGENCE PRESSE,ACCOUNTLEVEL,-23,944,8756,8875
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-23,3268,5265,13771
AUREA SOFTWARE INC,ACCOUNTLEVEL,-23,9402,8301,10358
Ocean Sports Wear,ACCOUNTLEVEL,-23,11787,8942,2254
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-23,6813,10188,4236
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-23,11157,178,12749
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-23,5783,6677,13286
UNIFOODS SA DE CV,ACCOUNTLEVEL,-23,12093,9587,1283
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-23,1359,9166,2872
JARDINS DE NORTENE,ACCOUNTLEVEL,-23,8175,10293,10355
Terry Store age spa,ACCOUNTLEVEL,-23,11641,1445,4816
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-23,6111,242,5384
ST. CLAIR SERVICE,ACCOUNTLEVEL,-23,10200,2197,11257
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-23,9412,12574,2564
CARNES KM SA DE CV,ACCOUNTLEVEL,-23,14178,10297,4049
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-23,4612,10822,14286
COMNET SA DE CV,ACCOUNTLEVEL,-23,8475,3529,11798
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-23,1940,6584,1212
FRUITCORP SA DE CV,ACCOUNTLEVEL,-23,1383,1623,13778
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-23,13372,7846,4446
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-23,5553,12165,5458
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-23,13546,11662,11611
K & S Contractors Supply Co,ACCOUNTLEVEL,-23,1528,9596,8951
Tioga Hardwoods Inc,ACCOUNTLEVEL,-23,10175,1974,10607
GHCL Limited,ACCOUNTLEVEL,-23,7958,5516,5066
Motion Industries Inc.,ACCOUNTLEVEL,-23,6387,9521,8241
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-23,1237,7058,3388
Quantum Foods,ACCOUNTLEVEL,-23,11753,3012,4935
Family Magazine,ACCOUNTLEVEL,-23,8208,7437,6045
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-23,1073,10256,13679
Innovative Laser Inc,ACCOUNTLEVEL,-23,4725,699,8749
Addis Housewares Ltd,ACCOUNTLEVEL,-23,2032,1864,13078
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-23,5768,10652,8427
APLNG,ACCOUNTLEVEL,-23,3290,1520,7978
Quince Hungary Kft,ACCOUNTLEVEL,-23,3867,10165,12884
Jandel Scientific Inc.,ACCOUNTLEVEL,-23,14108,10022,3280
Viking Tool & Steel,ACCOUNTLEVEL,-23,4581,3280,1520
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-23,11765,12458,1089
MAPE USA,ACCOUNTLEVEL,-23,8220,6322,12759
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-23,2223,7283,4404
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-23,4968,9484,2035
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-23,4183,4134,6001
M&M SERVICE CO,ACCOUNTLEVEL,-23,9282,8548,12131
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-23,2074,5681,5225
L and P Financial Services Co,ACCOUNTLEVEL,-23,9885,1084,525
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-23,1881,1507,13182
CATMADER SL,ACCOUNTLEVEL,-23,12827,1326,1284
Tekno Inc,ACCOUNTLEVEL,-23,13421,7963,10485
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-23,7395,6218,8703
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-23,6718,724,13440
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-23,12015,1282,273
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-23,11129,11902,10240
COMERGALV SA DE CV,ACCOUNTLEVEL,-23,1462,1926,8970
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-23,6272,7984,3948
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-23,11025,4470,2533
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-23,6300,5119,3664
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-23,2498,2731,6365
TERENTRO SA DE CV,ACCOUNTLEVEL,-23,1241,10218,7225
FUNTASTIC LIMITED,ACCOUNTLEVEL,-23,7552,5496,4644
DeeTag USA,ACCOUNTLEVEL,-23,10593,14024,2753
Lakeland Village,ACCOUNTLEVEL,-23,11283,883,5065
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-23,2611,4866,8
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-23,1801,2943,11013
Do not Use1,ACCOUNTLEVEL,-23,7311,1236,12673
Oil Chem Research Corp,ACCOUNTLEVEL,-23,10393,13199,7512
LICK ELEVATOR,ACCOUNTLEVEL,-23,14219,12439,1383
Quanex Screens LLC,ACCOUNTLEVEL,-23,13446,13806,6855
A and T unlimit Limited,ACCOUNTLEVEL,-22,14824,6291,6848
Sienna Gold Ltd,ACCOUNTLEVEL,-22,2434,11333,3734
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-22,12621,897,13275
Murex N.A. Ltd,ACCOUNTLEVEL,-22,14125,8891,13677
Via Systems,ACCOUNTLEVEL,-22,3848,10344,8666
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-22,453,8384,5798
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-22,2920,383,5759
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-22,12104,11243,11021
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-22,7845,7000,13327
Anunay Fab Ltd,ACCOUNTLEVEL,-22,3329,2650,9581
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-22,6756,6059,9261
Jadow B & Sons Inc,ACCOUNTLEVEL,-22,5286,6939,3153
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-22,2887,5822,2247
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-22,11909,4914,11147
Alltech Automotive LLC,ACCOUNTLEVEL,-22,10905,868,14871
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-22,6278,3220,13906
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-22,10933,13815,2177
ATTEBURY GRAIN,ACCOUNTLEVEL,-22,8729,10985,6331
Vicor,ACCOUNTLEVEL,-22,11372,6503,2331
Baja Inc,ACCOUNTLEVEL,-22,396,8336,9356
National Assn of Printing Ink,ACCOUNTLEVEL,-22,12519,6217,3909
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-22,9503,1904,5423
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-22,1348,8000,37
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-22,10636,12600,10531
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-22,3622,8753,1363
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-22,2432,11308,5975
Triumph Tool NC Inc,ACCOUNTLEVEL,-22,8538,649,6725
Darta NV,ACCOUNTLEVEL,-22,7127,775,5431
COTY UK LTD,ACCOUNTLEVEL,-22,8471,10351,1297
Deal Partners Limited,ACCOUNTLEVEL,-22,1889,9322,6115
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-22,10965,1904,12359
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-22,384,11102,8431
GKN Sinter Metals,ACCOUNTLEVEL,-22,4831,10311,1555
AGENCE PRESSE,ACCOUNTLEVEL,-22,225,11579,8686
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-22,14711,6151,3816
AUREA SOFTWARE INC,ACCOUNTLEVEL,-22,11398,455,2086
Ocean Sports Wear,ACCOUNTLEVEL,-22,5025,443,13396
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-22,461,1603,3141
